NTTN A END,NTTN Z END,SCR ID
Dhaka,Joydebpur,lnk3_010720_026_nb
Dhaka,Tangail,lnk3_151117_08_nb
Dhaka,Mawna,lnk3_221118_051_nb
Dhaka,Manikgonj,lnk3_130519_007_nb
Dhaka,Munshigonj,lnk3_210619_052_nb
Dhaka,Narayangonj,Pri-lnk3_250719_007_nb /Sec
Dhaka,Faridpur,lnk3_061218_005_nb
Dhaka,Shibchar,lnk3_050320_020_nb
Dhaka,Feni,lnk3_180220_022_nb
Dhaka,CTG,lnk3_021221_013_nb
Dhaka,Cumilla,lnk3_180320_026_nb
Dhaka,Chandpur,lnk3_140920_026_nb
CTG,Chokoria,lnk3_260718_36_nb
CTG,Rangamati,lnk3_310719_039_nb
CTG,Bandarban,lnk3_280120_065_nb
Dhaka,Chowmohoni (Begumganj),lnk3_250917_36_nb
Dhaka,B.Baria,lnk3_290919_001_nb
Dhaka,Moulovibazar,lnk3_290316_16_nb
Dhaka,Sreemangal,lnk3_251119_111_nb
Dhaka,Jashore,lnk3_250719_048_nb
Dhaka,Kustia,lnk3_100220_049_nb
Dhaka,Jhenaidah,lnk3_240419_162_nb
Dhaka,Chuadanga,lnk3_051219_034_nb
Dhaka,Mongla,lnk3_181118_019_nb
Dhaka,Iswardhi,lnk3_201119_012_nb
Dhaka,Rajshahi,lnk3_240319_104_nb
Dhaka,Chapai,lnk3_251219_014_nb
Dhaka,Pabna,lnk3_131215_01_nb
Dhaka,Sirajgonj,lnk3_290118_26_nb
Dhaka,Natore,lnk3_140120_066_nb
Dhaka,Rangpur,lnk3_300119_027_nb
Dhaka,Dinajpur,lnk3_281220_010_nb
Dhaka,Thakurgaon,lnk3_160417_03_nb
Dhaka,Saidpur,lnk3_300320_006_nb
Dhaka,Gaibandha,lnk3_231219_040_nb
Dhaka,Kurigram 1st,lnk3_170219_098_nb
Dhaka,Kurigram 2nd,lnk3_021220_023_nb
Dhaka,Mithapukur,lnk3_290120_003_nb
Dhaka,Barishal,lnk3_040220_053_nb
Dhaka,Potuakhali,lnk3_011217_40_nb
Dhaka,Mymenshing,lnk3_240715_01_nb
Dhaka,Haluaghat,lnk3_300819_007_nb
Dhaka,Gaforgaon,lnk3_080621_003_nb
Dhaka,Barguna,lnk3_200621_032_nb
Dhaka,Panchogore (BL POP),lnk3_300621_033_nb
Dhaka,Maizdee,lnk3_130821_001_nb
Dhaka,Sathkhira,lnk3_190921_001_nb
Dhaka,"Madhobdi, Narshingdi",lnk3_051021_029_nb
Dhaka,Sunamgonj,lnk3_291021_003_nb
CTG,Cox'sBazar,lnk3_241021_051_nb
Dhaka,Gopalgonj,lnk3_301121_062_nb
Dhaka,Patgram,lnk3_060122_036_nb
Dhaka,Fakirerbazar,lnk3_011221_006_nb
Dhaka,Chattak,lnk3_270322_074_nb
Dhaka,Hatibandha,lnk3_060422_037_nb
Dhaka,Hajiganj,lnk3_200422_016_nb
Dhaka,Rajbari,lnk3_290522_068_nb
Dhaka,"Balijuribazar,Jamalpur",lnk3_290522_066_nb
Dhaka,Jamalpur,lnk3_260622_056_nb
Dhaka,Beanibazar,lnk3_020622_058_nb
Dhaka,"Sreenagar, Munshiganj",lnk3_290522_058_nb
Dhaka,Madaripur,lnk3_290622_052_nb
Dhaka,CTG Road,lnk3_070822_074_nb
Dhaka,Juri,lnk3_141122_011_nb
Dhaka,Kulaura,lnk3_141122_003_nb
Dhaka,Borolekha,lnk3_221122_012_nb
Dhaka,Bhaluka(Seedstore),lnk3_051222_061_nb
Dhaka,"Miarhat,Pirojpur",lnk3_291122_078_nb
Dhaka,Pirojpur,lnk3_301122_012_nb
Dhaka,Fultola,lnk3_291122_087_nb
Dhaka,Netrokona,lnk3_111222_050_nb
Dhaka,Naogaon,lnk3_261222_069_nb
Dhaka,Shariyatpur,lnk3_050123_096_nb
Dhaka,Joypara,lnk3_020123_011_nb
CTG,Patiya,lnk3_130123_005_nb
CTG,Lohagora,lnk3_130123_009_nb
Dhaka,Meherpur,lnk3_130123_013_nb
Dhaka,Noapara,lnk3_190123_014_nb
Dhaka,Mothbaria,lnk3_190123_005_nb
CTG,Hathazari,lnk3_240123_026_nb
Dhaka,Laxmipur,lnk3_240123_040_nb
Dhaka,Damudiya,lnk3_190622_040_nb
Dhaka,"Shokhipur,Tangail",lnk3_310123_075_nb
Dhaka,Belkuchi,lnk3_200223_051_nb
Dhaka,"Chauddagram,Cumilla",lnk3_310123_077_nb
Dhaka,Sahjadpur,lnk3_200223_062_nb
Dhaka,Nilphamari,lnk3_010323_040_nb
Dhaka,Parbotipur,lnk3_010323_049_nb
Dhaka,Sherpur,lnk3_070323_056_nb
Dhaka,Kasinathpur,lnk3_020323_003_nb
CTG,Mirersarai,lnk3_070323_001_nb
Dhaka,Nazimkhan,lnk3_140323_044_nb
Dhaka,Mongla,lnk3_050223_075_nb
Dhaka,Kaliganj(Sathkhira),lnk3_050223_073_nb
Dhaka,Dhamrai,lnk3_060323_003_nb
Dhaka,"Nalitabari, Sherpur",lnk3_030423_013_nb
Dhaka,Kaliganj(Jhenaidah),lnk3_190123_027_nb
Dhaka,Bhanga,lnk3_120423_090_nb
Dhaka,Nabiganj,lnk3_090423_010_nb
Dhaka,Debidwer,lnk3_160423_011_nb
Dhaka,Gazipur Nawjor,lnk3_150523_027_nb
Dhaka,Bhaluka,lnk3_140523_071_nb
Dhaka,Habiganj,lnk3_170523_050_nb
Dhaka,"Derai,Sunamganj",lnk3_250623_013_nb
Dhaka,Sylhet,lnk3_070823_019_nb
CTG,Sonagazi,lnk3_031023_040_nb
CTG,Porsuram,lnk3_041023_036_nb
Dhaka,Bhuapur,lnk3_041023_039_nb
CTG,Khutakhali,lnk3_171023_037_nb
Dhaka,Senbagh,lnk3_011123_004_nb
Dhaka,Khilpara,lnk3_311023_071_nb
Dhaka,Subarnachar,lnk3_011123_006_nb
Dhaka,Golapganj,lnk3_301123_010_nb
Dhaka,Potherhat,lnk3_231123_075_nb
Dhaka,"Savar,Palashbari",lnk3_071223_038_nb
Dhaka,Uttarkhan,lnk3_260226_093_nb/ OLD(lnk3_211123_044_nb)
Dhaka,Jamalpur,lnk3_211123_058_nb
Dhaka,"Trishal,Mymensingh",lnk3_120922_001_nb
Dhaka,"Jhenaidah,Kaliganj",lnk3_211123_080_nb
CTG,Ukhiya,lnk3_280821_010_nb
CTG,Khagrachori,lnk3_150222_053_nb
Dhaka,"Siddhirganj,Narayanganj",lnk3_051223_022_nb
CTG,Nanupur,lnk3_130324_109_nb
Dhaka,Alfadanga,lnk3_030424_005_nb
Dhaka,Biswhnath,lnk3_020524_004_nb
Dhaka,Goalabazar,lnk3_150524_003_nb
Dhaka,Netrokona,lnk3_300524_069_nb
Dhaka,Kishoregonj,lnk3_130824_057_nb
Dhaka,"Sahebbazar, Sirajganj",lnk3_290824_014_nb
CTG,Jalilnagar,lnk3_020924_075_nb
CTG,Teknaf,lnk3_301024_107_nb
Dhaka,Zakiganj,lnk3_091024_053_nb
Jessore,Satbaria,lnk3_140525_018_nb
Jessore,Keshobpur,lnk3_150525_004_nb
Jessore,Mongolkot,lnk3_140525_011_nb
Jessore,Bagachra,lnk3_200525_014_nb
Jessore,Noapara,lnk3_130525_100_nb
Dhaka,Bhairab,lnk3_150925_038_nb
Dhaka,Hi tech park,lnk3_201025_048_nb
Dhaka,Benapole,lnk3_091125_076_nb
CTG,Lichubagan,lnk3_211125_003_nb
Dhaka,Borak tower,lnk3_171225_094_nb
Dhaka,"Doulatpur, Kustia",lnk3_100326_027_nb
Dhaka,"Raipura, Narsingdi",lnk3_130326_029_nb
Dhaka,Khulna,lnk3_160326_055_nb
Dhaka(Khawaja Tower),Borak tower,lnk3_171225_091_nb
Dhaka(Kawranbazar),"Dhaka, Satarkul Mouza, Satarkul Merul Road Thana- Badda, Dhaka.",lnk3_211225_046_nb
